"","Diagnostic","morphological_parameter","clinical_test","Correlation","pvalue","eff.size","ROI","Age_correction","pval.adj"
"125","CTL","logAvgThickness","AB1-42",-0.31,0.01726,-0.65,"Hemisphere","yes",0.03452
"126","CTL","logAvgThickness","COGNITIVE_INDEX",0.26,0.001069,0.54,"Hemisphere","yes",0.002138
"127","CTL","logAvgThickness","DIGIT SPAN BACK",0.0077,0.9241,0.02,"Hemisphere","yes",1
"128","CTL","logAvgThickness","Lipoxina",-0.29,0.02821,-0.61,"Hemisphere","yes",0.05642
"129","CTL","logAvgThickness","TAU",-0.18,0.1788,-0.37,"Hemisphere","yes",0.3576
"130","CTL","logAvgThickness","TAU_AB1_42_ratio",0.11,0.4138,0.22,"Hemisphere","yes",0.8276
"131","CTL","logAvgThickness","TAU_AB1_ratio",0.0043,0.9746,0.01,"Hemisphere","yes",1
"132","CTL","logAvgThickness","TMT B-A",0.11,0.1747,0.22,"Hemisphere","yes",0.6988
"133","AD","K","DIGIT SPAN BACK",-0.12,0.5709,-0.24,"F","no",1
"134","AD","K","TMT B-A",-0.18,0.3884,-0.37,"F","no",1
"135","AD","K","DIGIT SPAN BACK",-0.078,0.7066,-0.16,"F","yes",1
"136","AD","K","TMT B-A",-0.18,0.3871,-0.37,"F","yes",1
"137","AD","logAvgThickness","DIGIT SPAN BACK",0.24,0.2471,0.49,"F","no",0.9884
"138","AD","logAvgThickness","TMT B-A",0.024,0.9056,0.05,"F","no",1
"139","AD","logAvgThickness","DIGIT SPAN BACK",0.33,0.09923,0.7,"F","yes",0.39692
"140","AD","logAvgThickness","TMT B-A",-0.053,0.7971,-0.11,"F","yes",1
"141","MCI","K","DIGIT SPAN BACK",0.05,0.672,0.1,"F","no",1
"142","MCI","K","TMT B-A",-0.049,0.6793,-0.1,"F","no",1
"143","MCI","K","DIGIT SPAN BACK",0.034,0.775,0.07,"F","yes",1
"144","MCI","K","TMT B-A",0.048,0.6876,0.1,"F","yes",1
"145","MCI","logAvgThickness","DIGIT SPAN BACK",-0.062,0.6,-0.12,"F","no",1
"146","MCI","logAvgThickness","TMT B-A",-0.068,0.5661,-0.14,"F","no",1
"147","MCI","logAvgThickness","DIGIT SPAN BACK",-0.084,0.4814,-0.17,"F","yes",1
"148","MCI","logAvgThickness","TMT B-A",0.036,0.7619,0.07,"F","yes",1
"149","CTL","K","DIGIT SPAN BACK",0.15,0.05585,0.3,"F","no",0.2234
"150","CTL","K","TMT B-A",-0.014,0.8608,-0.03,"F","no",1
"151","CTL","K","DIGIT SPAN BACK",0.15,0.05894,0.3,"F","yes",0.23576
"152","CTL","K","TMT B-A",0.066,0.4179,0.13,"F","yes",1
"153","CTL","logAvgThickness","DIGIT SPAN BACK",0.03,0.7158,0.06,"F","no",1
"154","CTL","logAvgThickness","TMT B-A",-0.027,0.7411,-0.05,"F","no",1
"155","CTL","logAvgThickness","DIGIT SPAN BACK",-0.016,0.8432,-0.03,"F","yes",1
"156","CTL","logAvgThickness","TMT B-A",0.096,0.2363,0.19,"F","yes",0.9452
"157","AD","K","A7/A5",0.14,0.497,0.28,"T","no",1
"158","AD","K","A7/A5",0.23,0.2618,0.47,"T","yes",1
"159","AD","logAvgThickness","A7/A5",0.037,0.8578,0.07,"T","no",1
"160","AD","logAvgThickness","A7/A5",0.13,0.5403,0.26,"T","yes",1
"161","MCI","K","A7/A5",0.02,0.8634,0.04,"T","no",1
"162","MCI","K","A7/A5",0.12,0.3214,0.24,"T","yes",1
"163","MCI","logAvgThickness","A7/A5",0.21,0.08169,0.43,"T","no",0.32676
"164","MCI","logAvgThickness","A7/A5",0.17,0.1468,0.35,"T","yes",0.5872
"165","CTL","K","A7/A5",0.03,0.7172,0.06,"T","no",1
"166","CTL","K","A7/A5",-0.074,0.3631,-0.15,"T","yes",1
"167","CTL","logAvgThickness","A7/A5",0.24,0.00327,0.49,"T","no",0.01308
"168","CTL","logAvgThickness","A7/A5",0.12,0.1405,0.24,"T","yes",0.562
