"","Sample","ROI","c"
"338","IDOR","hemisphere",NA
"339","IDOR","F",1.94657065315509
"340","IDOR","F",1.9049262039056
"341","IDOR","P",4.20189108917379
"342","IDOR","P",3.65090423467237
"343","IDOR","T",3.87703086101645
"344","IDOR","T",3.4409966756627
"345","IDOR","O",2.90799257119432
"346","IDOR","O",3.21118985316161
"347","IDOR","hemisphere",NA
"348","IDOR","hemisphere",NA
"349","IDOR","F",1.89997999316337
"350","IDOR","F",1.9204093462108
"351","IDOR","P",4.00595791479068
"352","IDOR","P",3.57607265067642
"353","IDOR","T",3.62413753847548
"354","IDOR","T",3.84278912956114
"355","IDOR","O",3.17836027534439
"356","IDOR","O",3.4577113656994
"357","IDOR","hemisphere",NA
"358","IDOR","hemisphere",NA
"359","IDOR","F",1.91269165842476
"360","IDOR","F",1.93100019834556
"361","IDOR","P",3.94264515014899
"362","IDOR","P",4.1158080621352
"363","IDOR","T",3.75097843390799
"364","IDOR","T",3.32101977845312
"365","IDOR","O",3.17300006094475
"366","IDOR","O",3.57141604368209
"367","IDOR","hemisphere",NA
"368","IDOR","hemisphere",NA
"369","IDOR","F",1.87760066122527
"370","IDOR","F",1.9228610010206
"371","IDOR","P",3.91766949809166
"372","IDOR","P",4.3230551321207
"373","IDOR","T",3.90889406834209
"374","IDOR","T",3.72970006102015
"375","IDOR","O",3.23351983509166
"376","IDOR","O",3.12407526903952
"377","IDOR","hemisphere",NA
"378","IDOR","hemisphere",NA
"379","IDOR","F",2.03805747574796
"380","IDOR","F",1.91661861112405
"381","IDOR","P",4.55345648281784
"382","IDOR","P",3.73329485478855
"383","IDOR","T",3.61721032003188
"384","IDOR","T",3.67104502158366
"385","IDOR","O",3.48763529280607
"386","IDOR","O",3.46159756923298
"387","IDOR","hemisphere",NA
"388","IDOR","hemisphere",NA
"389","IDOR","F",1.957426593804
"390","IDOR","F",1.97124181669126
"391","IDOR","P",4.76712138916141
"392","IDOR","P",5.08824869627732
"393","IDOR","T",4.02881267107018
"394","IDOR","T",3.92198792191254
"395","IDOR","O",2.74624639833341
"396","IDOR","O",3.22687320882248
"397","IDOR","hemisphere",NA
"398","IDOR","hemisphere",NA
"399","IDOR","F",2.02200931545361
"400","IDOR","F",2.1470790531609
"401","IDOR","P",3.85316773186103
"402","IDOR","P",3.93295561337155
"403","IDOR","T",3.39382928837145
"404","IDOR","T",3.82138981199465
"405","IDOR","O",3.22776400698325
"406","IDOR","O",3.39068464525435
"407","IDOR","hemisphere",NA
"408","IDOR","hemisphere",NA
"409","IDOR","F",2.17164374109666
"410","IDOR","F",2.03716202035048
"411","IDOR","P",4.33181032860676
"412","IDOR","P",4.75844315570973
"413","IDOR","T",3.46665684059939
"414","IDOR","T",3.49858470701194
"415","IDOR","O",4.1287184301167
"416","IDOR","O",3.65482320173478
"417","IDOR","hemisphere",NA
"418","IDOR","hemisphere",NA
"419","IDOR","F",1.86091202575376
"420","IDOR","F",1.80779323904325
"421","IDOR","P",4.23191601985379
"422","IDOR","P",3.87297516085494
"423","IDOR","T",3.35775764442742
"424","IDOR","T",3.68727532252073
"425","IDOR","O",3.1774364302497
"426","IDOR","O",3.29841546789243
"427","IDOR","hemisphere",NA
"428","IDOR","hemisphere",NA
"429","IDOR","F",1.83386836747584
"430","IDOR","F",2.08937262903198
"431","IDOR","P",4.54102191326418
"432","IDOR","P",3.95307860711774
"433","IDOR","T",3.88148626919114
"434","IDOR","T",3.73131555642316
"435","IDOR","O",2.93678307831158
"436","IDOR","O",3.27312009873279
"437","IDOR","hemisphere",NA
"438","IDOR","hemisphere",NA
"439","IDOR","F",1.97593842192404
"440","IDOR","F",2.00971763109941
"441","IDOR","P",3.92255621272962
"442","IDOR","P",4.01875574099784
"443","IDOR","T",3.50466730493372
"444","IDOR","T",3.45777992076151
"445","IDOR","O",3.65442471370931
"446","IDOR","O",3.76281435374647
"447","IDOR","hemisphere",NA
"448","IDOR","hemisphere",NA
"449","IDOR","F",2.09564861785562
"450","IDOR","F",1.93608585926144
"451","IDOR","P",4.05941718265392
"452","IDOR","P",3.86408052578362
"453","IDOR","T",3.45123179464433
"454","IDOR","T",3.68762460312198
"455","IDOR","O",3.09364385495119
"456","IDOR","O",2.87190179806968
"457","IDOR","hemisphere",NA
"458","IDOR","hemisphere",NA
"459","IDOR","F",1.96410095219052
"460","IDOR","F",2.07986277687193
"461","IDOR","P",4.88576130934965
"462","IDOR","P",3.80898980108507
"463","IDOR","T",3.6077771007152
"464","IDOR","T",3.175276446687
"465","IDOR","O",2.85557936105104
"466","IDOR","O",3.36069835769069
"467","IDOR","hemisphere",NA
"468","IDOR","hemisphere",NA
"469","IDOR","F",1.99348890271485
"470","IDOR","F",1.88286071355135
"471","IDOR","P",3.91496018431402
"472","IDOR","P",3.60182255034239
"473","IDOR","T",3.44618182697752
"474","IDOR","T",3.5226133042833
"475","IDOR","O",3.75434453944056
"476","IDOR","O",3.75748849974789
"477","IDOR","hemisphere",NA
"478","IDOR","hemisphere",NA
"479","IDOR","F",1.95165789588772
"480","IDOR","P",4.36669947390774
"481","IDOR","T",3.71697387496305
"482","IDOR","O",3.35735846265819
