rh.pial.area	rh.pial	BrainSegVolNotVent	eTIV
SUBJ101/SUBJ101_ses-2	106461.0	1147698.0	1702296.42461
SUBJ101/SUBJ101_ses-2.long.SUBJ101_tmpl	105403.0	1140945.0	1707737.21796
SUBJ101/SUBJ101_ses-3	106457.0	1137396.0	1709692.33573
SUBJ101/SUBJ101_ses-3.long.SUBJ101_tmpl	105116.0	1130876.0	1707737.21796
SUBJ101/SUBJ101_ses-4	108962.0	1158992.0	1552406.94182
SUBJ101/SUBJ101_ses-4.long.SUBJ101_tmpl	108274.0	1162294.0	1707737.21796
SUBJ103/SUBJ103_ses-1	99035.0	1065063.0	1390833.41048
SUBJ103/SUBJ103_ses-1.long.SUBJ103_tmpl	97814.0	1055589.0	1388710.58208
SUBJ103/SUBJ103_ses-2	96196.0	1036791.0	1386932.67134
SUBJ103/SUBJ103_ses-2.long.SUBJ103_tmpl	95080.0	1027829.0	1388710.58208
SUBJ103/SUBJ103_ses-3	97935.0	1043474.0	1302390.22033
SUBJ103/SUBJ103_ses-3.long.SUBJ103_tmpl	97278.0	1048842.0	1388710.58208
SUBJ104/SUBJ104_ses-1	93649.0	978195.0	1415787.78544
SUBJ104/SUBJ104_ses-1.long.SUBJ104_tmpl	92478.0	964423.0	1415545.57848
SUBJ105/SUBJ105_ses-1	102131.0	1040586.0	1675097.30903
SUBJ105/SUBJ105_ses-1.long.SUBJ105_tmpl	101605.0	1027566.0	1678463.25429
SUBJ105/SUBJ105_ses-2	102492.0	1034507.0	1681594.75457
SUBJ105/SUBJ105_ses-2.long.SUBJ105_tmpl	101578.0	1023349.0	1678463.25429
SUBJ105/SUBJ105_ses-3	101926.0	1031685.0	1598960.65697
SUBJ105/SUBJ105_ses-3.long.SUBJ105_tmpl	102998.0	1021998.0	1678463.25429
SUBJ106/SUBJ106_ses-1	93141.0	967868.0	1354761.63535
SUBJ106/SUBJ106_ses-1.long.SUBJ106_tmpl	92398.0	959434.0	1347617.0956
SUBJ106/SUBJ106_ses-2	91420.0	935380.0	1347947.23197
SUBJ106/SUBJ106_ses-2.long.SUBJ106_tmpl	90598.0	928470.0	1347617.0956
SUBJ108/SUBJ108_ses-1	109670.0	1125615.0	1676505.94115
SUBJ108/SUBJ108_ses-1.long.SUBJ108_tmpl	108600.0	1121323.0	1671373.98464
SUBJ108/SUBJ108_ses-2	109128.0	1126431.0	1663209.09733
SUBJ108/SUBJ108_ses-2.long.SUBJ108_tmpl	108047.0	1116234.0	1671373.98464
SUBJ108/SUBJ108_ses-3	109259.0	1130532.0	1650508.83364
SUBJ108/SUBJ108_ses-3.long.SUBJ108_tmpl	110425.0	1131900.0	1671373.98464
SUBJ109/SUBJ109_ses-1	103994.0	1083061.0	1709452.14931
SUBJ109/SUBJ109_ses-1.long.SUBJ109_tmpl	102760.0	1076471.0	1703902.18948
SUBJ109/SUBJ109_ses-2	104364.0	1091771.0	1711162.64466
SUBJ109/SUBJ109_ses-2.long.SUBJ109_tmpl	103036.0	1084235.0	1703902.18948
SUBJ109/SUBJ109_ses-3	105255.0	1098878.0	1585798.17486
SUBJ109/SUBJ109_ses-3.long.SUBJ109_tmpl	105000.0	1081750.0	1703902.18948
SUBJ110/SUBJ110_ses-1	102191.0	1002002.0	1504595.21066
SUBJ110/SUBJ110_ses-1.long.SUBJ110_tmpl	101233.0	984164.0	1504360.44272
SUBJ111/SUBJ111_ses-1	97990.0	1007392.0	1539118.12334
SUBJ111/SUBJ111_ses-1.long.SUBJ111_tmpl	97693.0	998458.0	1540623.67617
SUBJ112/SUBJ112_ses-1	98216.0	996597.0	1580063.72665
SUBJ112/SUBJ112_ses-1.long.SUBJ112_tmpl	97609.0	989915.0	1584108.33117
SUBJ112/SUBJ112_ses-2	97987.0	982189.0	1577172.60231
SUBJ112/SUBJ112_ses-2.long.SUBJ112_tmpl	97463.0	975090.0	1584108.33117
SUBJ112/SUBJ112_ses-3	99833.0	1007397.0	1485131.01864
SUBJ112/SUBJ112_ses-3.long.SUBJ112_tmpl	99272.0	993350.0	1584108.33117
SUBJ113/SUBJ113_ses-1	108501.0	1190311.0	1601055.4351
SUBJ113/SUBJ113_ses-1.long.SUBJ113_tmpl	107756.0	1190089.0	1603369.46904
